case_id,年龄,年龄段,身份定位,评估结论,监护状况,教养方式,认知类型,同伴关系,社区环境,在校表现,法治教育覆盖,内容接触,线上交往行为,财务行为,家庭沟通分,家庭冲突分,冲动易冲动程度,攻击暴力倾向,自我认同问题程度,受不良同伴影响强度,受社区影响强度,逃学旷课频次,法治教育学习效果,上网时间问题程度,深夜上网问题程度,接触有害内容频次,时间管理问题程度,理财观念行为问题程度,情感支持,情绪调节困难程度
Q0001,12,12-14岁,高风险需干预,已出现高风险行为，建议启动多部门联合干预,长期疾病；父母失业；单亲,暴力型教养；传统型(强调规则),受同伴影响；无极端倾向,结交不良同伴,社区治安较差；社区犯罪频发,长期旷课,深度参与/法治活动活跃；无法治教育,接触黑灰产信息；接触暴力/血腥内容；接触游戏内容,参与/发起网络欺凌；接触不良社交圈,偶尔冲动消费；理财能力良好,4,4,3,3,3,5,3,4,2,3,4,4,5,5,1,3
Q0002,14,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,长期疾病,权威型(合理)；溺爱型教养,无极端倾向；价值观模糊；偶有极端/模糊倾向,受同伴影响,社区资源丰富且治安好；社区犯罪频发,经常逃学,无法治教育,主要接触正面/学习资源,参与/发起网络欺凌；线上交往健康,存在欠债,1,2,0,2,0,2,2,2,3,0,0,1,1,0,3,0
Q0003,15,14-16岁,普通学生（略需关注),存在一定风险因素，建议学校与家长加强日常关注,监护人积极参与(保护）；单亲,忽视型教养；权威型(合理)；溺爱型教养,偶有极端/模糊倾向；受同伴影响；价值观模糊,受同伴影响；加入不良群体；无不良同伴,社区一般；社区资源丰富且治安好,偶尔逃课/逃学,深度参与/法治活动活跃,主要接触正面/学习资源,被网络欺凌/受害；接触不良社交圈；线上交往健康,严重财务问题；被诈骗；存在欠债,2,1,1,1,3,1,2,3,4,3,2,1,2,3,4,2
Q0004,14,14-16岁,重点关注对象,风险与保护因素并存，建议制定个性化干预方案,单亲,传统型(强调规则),无极端倾向,受同伴影响,社区治安较差,辍学；长期旷课,无法治教育,接触黑灰产信息；主要接触正面/学习资源；接触游戏内容；接触色情内容,参与/发起网络欺凌；线上交往健康,被诈骗；偶尔冲动消费,2,2,3,3,3,3,3,4,2,4,3,4,2,2,2,4
Q0005,14,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,单亲,权威型(合理)；忽视型教养；暴力型教养,偶有极端/模糊倾向；无极端倾向；价值观模糊,加入不良群体,社区资源丰富且治安好；高风险社区；社区资源贫乏,偶尔逃课/逃学；长期旷课；偶尔缺课,按课表开展,主要接触正面/学习资源,线上交往健康,理财能力良好；无欠债；被诈骗,0,0,1,1,2,0,1,2,5,2,0,2,2,1,4,2
Q0006,13,12-14岁,高风险需干预,已出现高风险行为，建议启动多部门联合干预,长期疾病,暴力型教养；溺爱型教养；权威型(合理),无极端倾向；价值观模糊,结交不良同伴；受同伴影响；无不良同伴,社区犯罪频发,探索个性化学习；经常逃学；偶尔逃课/逃学,偶尔宣传；无法治教育,接触黑灰产信息；接触色情内容；接触诈骗信息,参与/发起网络欺凌,被诈骗；无欠债,5,4,3,5,3,5,3,5,1,4,5,3,4,3,2,5
Q0007,13,12-14岁,普通学生（略需关注),存在一定风险因素，建议学校与家长加强日常关注,父母常年不在,忽视型教养,偶有极端/模糊倾向；敌意价值观,加入不良群体；偶有接触不良同伴；无不良同伴,高风险社区,探索个性化学习；长期旷课,偶尔宣传,主要接触正面/学习资源,线上交往健康；参与/发起网络欺凌；接触不良社交圈,严重财务问题；被诈骗,2,2,1,3,1,3,3,2,4,2,2,1,1,3,2,1
Q0008,15,14-16岁,普通学生（表现稳定),总体表现稳定，常规随访即可,流动监护；父母常年不在,暴力型教养；权威型(合理),偶有极端/模糊倾向,无不良同伴,社区资源丰富且治安好,长期旷课；偶尔缺课,按课表开展,主要接触正面/学习资源,被网络欺凌/受害；线上交往健康,无欠债,1,1,2,2,1,2,1,1,3,2,0,0,0,0,5,1
Q0009,13,12-14岁,普通学生（略需关注),存在一定风险因素，建议学校与家长加强日常关注,留守；长期疾病,传统型(强调规则)；权威型(合理)；忽视型教养,受同伴影响；价值观模糊；敌意价值观,无不良同伴；加入不良群体,社区犯罪频发；社区治安较差；社区资源贫乏,偶尔逃课/逃学；经常逃学,深度参与/法治活动活跃；无法治教育,主要接触正面/学习资源,线上交往健康；被网络欺凌/受害；接触不良社交圈,严重财务问题；存在欠债；理财能力良好,3,3,1,1,1,2,2,1,3,1,3,2,1,2,2,2
Q0010,13,12-14岁,普通学生（表现稳定),总体表现稳定，常规随访即可,监护人积极参与(保护）,溺爱型教养；忽视型教养,受同伴影响；无极端倾向,偶有接触不良同伴；加入不良群体,社区一般,探索个性化学习；辍学；偶尔缺课,偶尔宣传,主要接触正面/学习资源,参与/发起网络欺凌；线上交往健康,理财能力良好,1,0,2,2,0,1,2,1,3,1,0,2,1,1,4,0
